,accuracy,precision,recall,dp_gap,eo_gap
baseline,0.855980346998311,0.7397260273972602,0.6198979591836735,0.17697979057446778,0.062282690854119416
balanced,0.8550591125441425,0.7367223065250379,0.6192602040816326,0.17581923561064003,0.06636432350718069
